Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Seasonality,Preparation Method,Wastage Food Amount
Vegetables,397,Social Gathering,482,Refrigerated,All Seasons,Sit-down Dinner,31
Baked Goods,400,Social Gathering,500,Room Temperature,All Seasons,Finger Food,40
Dairy Products,261,Birthday,350,Room Temperature,All Seasons,Sit-down Dinner,23
Baked Goods,290,Birthday,374,Room Temperature,Summer,Finger Food,27
Vegetables,300,Corporate,400,Refrigerated,Summer,Sit-down Dinner,30
Fruits,350,Corporate,450,Room Temperature,Winter,Sit-down Dinner,45
Meat,350,Corporate,450,Refrigerated,Winter,Sit-down Dinner,25
Dairy Products,320,Wedding,400,Room Temperature,All Seasons,Buffet,45
Meat,400,Wedding,500,Refrigerated,All Seasons,Sit-down Dinner,45
Fruits,400,Social Gathering,500,Room Temperature,Summer,Finger Food,40
Meat,380,Social Gathering,480,Room Temperature,Winter,Buffet,30
Meat,400,Social Gathering,500,Room Temperature,Summer,Sit-down Dinner,25
Meat,350,Social Gathering,450,Room Temperature,Winter,Finger Food,30
Dairy Products,350,Corporate,450,Room Temperature,Winter,Finger Food,30
Fruits,310,Corporate,350,Room Temperature,All Seasons,Finger Food,35
Baked Goods,450,Birthday,500,Room Temperature,All Seasons,Finger Food,30
Baked Goods,247,Corporate,348,Room Temperature,Winter,Finger Food,16
Meat,400,Corporate,500,Refrigerated,All Seasons,Sit-down Dinner,40
Baked Goods,220,Wedding,300,Room Temperature,Summer,Finger Food,35
Fruits,250,Social Gathering,350,Refrigerated,Winter,Sit-down Dinner,40
Vegetables,300,Social Gathering,400,Room Temperature,Summer,Finger Food,20
Fruits,342,Social Gathering,405,Room Temperature,Winter,Finger Food,29
Dairy Products,280,Birthday,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,350,Wedding,450,Room Temperature,All Seasons,Sit-down Dinner,35
Baked Goods,250,Social Gathering,350,Room Temperature,Summer,Buffet,10
Dairy Products,220,Corporate,300,Room Temperature,Winter,Finger Food,15
Baked Goods,320,Corporate,400,Room Temperature,All Seasons,Finger Food,25
Vegetables,250,Social Gathering,350,Refrigerated,Summer,Sit-down Dinner,20
Dairy Products,350,Corporate,450,Room Temperature,All Seasons,Finger Food,30
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,50
Dairy Products,439,Social Gathering,459,Room Temperature,All Seasons,Buffet,39
Dairy Products,300,Wedding,400,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Dairy Products,280,Wedding,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,220,Social Gathering,300,Room Temperature,Winter,Sit-down Dinner,15
Dairy Products,300,Social Gathering,400,Room Temperature,Summer,Finger Food,40
Fruits,230,Social Gathering,500,Room Temperature,All Seasons,Sit-down Dinner,20
Dairy Products,350,Birthday,450,Room Temperature,Summer,Sit-down Dinner,25
Dairy Products,400,Social Gathering,450,Room Temperature,All Seasons,Buffet,30
Fruits,220,Social Gathering,300,Room Temperature,All Seasons,Finger Food,15
Baked Goods,300,Social Gathering,400,Room Temperature,Winter,Finger Food,25
Fruits,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,20
Fruits,320,Birthday,480,Refrigerated,Summer,Buffet,40
Meat,220,Wedding,300,Refrigerated,Summer,Sit-down Dinner,15
Meat,434,Wedding,495,Refrigerated,Winter,Sit-down Dinner,36
Vegetables,472,Corporate,489,Refrigerated,Winter,Buffet,36
Meat,250,Corporate,350,Room Temperature,Winter,Finger Food,30
Fruits,220,Wedding,300,Refrigerated,Winter,Finger Food,15
Meat,320,Corporate,400,Refrigerated,Summer,Sit-down Dinner,35
Vegetables,350,Wedding,450,Refrigerated,Summer,Finger Food,30
Meat,400,Corporate,400,Refrigerated,Summer,Sit-down Dinner,40
Fruits,320,Corporate,480,Refrigerated,All Seasons,Buffet,40
Vegetables,280,Corporate,350,Refrigerated,Winter,Buffet,24
Fruits,292,Birthday,470,Room Temperature,Winter,Sit-down Dinner,50
Meat,208,Wedding,282,Room Temperature,Summer,Sit-down Dinner,22
Fruits,250,Corporate,350,Refrigerated,Winter,Sit-down Dinner,20
Meat,320,Birthday,400,Room Temperature,Summer,Sit-down Dinner,35
Meat,320,Corporate,400,Refrigerated,Winter,Finger Food,20
Vegetables,220,Wedding,300,Refrigerated,Summer,Finger Food,15
Baked Goods,302,Corporate,371,Room Temperature,Winter,Buffet,27
Vegetables,250,Social Gathering,350,Refrigerated,Summer,Buffet,20
Baked Goods,267,Wedding,393,Room Temperature,Winter,Sit-down Dinner,24
Fruits,453,Wedding,484,Refrigerated,All Seasons,Sit-down Dinner,54
Vegetables,400,Social Gathering,500,Room Temperature,Summer,Buffet,30
Meat,300,Wedding,400,Refrigerated,Summer,Sit-down Dinner,15
Baked Goods,220,Wedding,300,Room Temperature,Summer,Finger Food,15
Baked Goods,300,Birthday,480,Room Temperature,All Seasons,Buffet,40
Fruits,280,Social Gathering,350,Refrigerated,All Seasons,Finger Food,20
Dairy Products,290,Corporate,374,Room Temperature,Winter,Finger Food,27
Meat,438,Corporate,493,Refrigerated,Winter,Sit-down Dinner,35
Baked Goods,350,Birthday,450,Room Temperature,Winter,Sit-down Dinner,45
Vegetables,300,Corporate,450,Refrigerated,All Seasons,Sit-down Dinner,35
Baked Goods,300,Corporate,400,Room Temperature,Summer,Finger Food,15
Dairy Products,300,Wedding,400,Room Temperature,Winter,Sit-down Dinner,35
Fruits,267,Social Gathering,393,Room Temperature,Winter,Sit-down Dinner,24
Fruits,300,Birthday,400,Room Temperature,Summer,Sit-down Dinner,25
Meat,342,Social Gathering,405,Refrigerated,All Seasons,Finger Food,29
Fruits,350,Birthday,450,Room Temperature,Summer,Sit-down Dinner,25
Fruits,400,Social Gathering,500,Room Temperature,Summer,Sit-down Dinner,40
Vegetables,220,Corporate,300,Room Temperature,Winter,Finger Food,15
Vegetables,320,Social Gathering,400,Refrigerated,Summer,Sit-down Dinner,35
Dairy Products,491,Birthday,497,Room Temperature,All Seasons,Finger Food,32
Fruits,250,Wedding,350,Room Temperature,Winter,Sit-down Dinner,20
Meat,350,Social Gathering,450,Room Temperature,Winter,Sit-down Dinner,35
Dairy Products,220,Social Gathering,300,Room Temperature,Summer,Finger Food,15
Baked Goods,380,Social Gathering,480,Room Temperature,Summer,Buffet,30
Vegetables,250,Wedding,350,Refrigerated,All Seasons,Sit-down Dinner,20
Dairy Products,400,Wedding,500,Room Temperature,All Seasons,Sit-down Dinner,50
Dairy Products,250,Corporate,400,Room Temperature,All Seasons,Sit-down Dinner,25
Baked Goods,400,Social Gathering,500,Room Temperature,Summer,Sit-down Dinner,50
Baked Goods,240,Wedding,450,Room Temperature,All Seasons,Sit-down Dinner,20
Dairy Products,250,Social Gathering,350,Room Temperature,Winter,Buffet,20
Dairy Products,453,Corporate,484,Room Temperature,All Seasons,Sit-down Dinner,54
Dairy Products,380,Social Gathering,480,Room Temperature,Winter,Buffet,30
Baked Goods,380,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,35
Dairy Products,250,Birthday,350,Room Temperature,All Seasons,Sit-down Dinner,40
Vegetables,220,Social Gathering,300,Refrigerated,All Seasons,Finger Food,15
Fruits,270,Social Gathering,400,Room Temperature,All Seasons,Sit-down Dinner,40
Dairy Products,280,Social Gathering,400,Room Temperature,All Seasons,Buffet,24
Baked Goods,208,Social Gathering,282,Room Temperature,Summer,Sit-down Dinner,22
Baked Goods,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,15
Dairy Products,342,Social Gathering,405,Room Temperature,All Seasons,Finger Food,29
Dairy Products,320,Social Gathering,400,Room Temperature,All Seasons,Finger Food,25
Dairy Products,300,Social Gathering,400,Room Temperature,All Seasons,Sit-down Dinner,30
Dairy Products,310,Social Gathering,350,Room Temperature,All Seasons,Finger Food,35
Baked Goods,380,Social Gathering,400,Room Temperature,All Seasons,Finger Food,25
Baked Goods,434,Social Gathering,495,Room Temperature,All Seasons,Sit-down Dinner,36
Meat,284,Wedding,443,Refrigerated,Summer,Buffet,32
Meat,250,Wedding,350,Refrigerated,Summer,Buffet,10
Meat,250,Wedding,480,Refrigerated,Summer,Finger Food,20
Meat,280,Birthday,350,Room Temperature,Winter,Finger Food,20
Meat,300,Corporate,400,Refrigerated,Winter,Finger Food,20
Meat,400,Birthday,500,Refrigerated,Winter,Sit-down Dinner,45
Meat,300,Corporate,400,Refrigerated,Summer,Sit-down Dinner,40
Meat,350,Corporate,450,Refrigerated,Summer,Sit-down Dinner,35
Meat,400,Corporate,500,Refrigerated,Summer,Sit-down Dinner,40
Fruits,310,Corporate,350,Room Temperature,Summer,Finger Food,35
Meat,400,Wedding,350,Room Temperature,Winter,Sit-down Dinner,35
Meat,207,Corporate,280,Room Temperature,Summer,Finger Food,20
Fruits,380,Wedding,500,Refrigerated,Winter,Sit-down Dinner,35
Meat,302,Social Gathering,371,Room Temperature,Winter,Buffet,27
Dairy Products,250,Corporate,350,Room Temperature,Winter,Buffet,10
Baked Goods,280,Birthday,350,Room Temperature,Winter,Finger Food,15
Vegetables,350,Birthday,450,Refrigerated,Winter,Sit-down Dinner,35
Fruits,220,Wedding,300,Room Temperature,Summer,Sit-down Dinner,15
Vegetables,300,Birthday,400,Refrigerated,Winter,Finger Food,15
Meat,300,Social Gathering,450,Refrigerated,Summer,Finger Food,35
Fruits,250,Corporate,350,Refrigerated,All Seasons,Finger Food,20
Vegetables,350,Wedding,450,Room Temperature,Summer,Sit-down Dinner,40
Fruits,442,Wedding,482,Room Temperature,All Seasons,Sit-down Dinner,32
Fruits,350,Wedding,450,Room Temperature,Winter,Sit-down Dinner,25
Baked Goods,300,Wedding,400,Room Temperature,Winter,Sit-down Dinner,20
Dairy Products,310,Birthday,350,Room Temperature,Winter,Finger Food,35
Baked Goods,275,Wedding,388,Room Temperature,All Seasons,Finger Food,16
Fruits,310,Social Gathering,350,Room Temperature,Winter,Finger Food,35
Baked Goods,220,Birthday,300,Room Temperature,Summer,Finger Food,15
Dairy Products,380,Wedding,480,Room Temperature,Summer,Buffet,30
Dairy Products,491,Wedding,497,Room Temperature,Summer,Finger Food,32
Dairy Products,250,Birthday,350,Room Temperature,Winter,Buffet,20
Vegetables,250,Corporate,350,Refrigerated,Summer,Sit-down Dinner,40
Fruits,220,Corporate,300,Refrigerated,All Seasons,Finger Food,20
Fruits,320,Birthday,400,Room Temperature,All Seasons,Finger Food,25
Fruits,300,Corporate,400,Room Temperature,All Seasons,Finger Food,25
Baked Goods,250,Corporate,350,Room Temperature,Summer,Finger Food,20
Meat,300,Social Gathering,400,Room Temperature,Winter,Finger Food,15
Baked Goods,320,Social Gathering,400,Room Temperature,All Seasons,Buffet,30
Meat,208,Social Gathering,282,Refrigerated,Winter,Sit-down Dinner,22
Baked Goods,438,Corporate,493,Room Temperature,Winter,Sit-down Dinner,35
Vegetables,280,Social Gathering,350,Room Temperature,Winter,Finger Food,20
Baked Goods,207,Corporate,280,Room Temperature,All Seasons,Finger Food,20
Vegetables,453,Social Gathering,484,Refrigerated,Summer,Sit-down Dinner,54
Baked Goods,380,Social Gathering,480,Room Temperature,Summer,Buffet,30
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Finger Food,15
Vegetables,280,Corporate,350,Refrigerated,All Seasons,Finger Food,20
Dairy Products,400,Social Gathering,400,Room Temperature,Summer,Finger Food,40
Dairy Products,250,Corporate,350,Room Temperature,Winter,Finger Food,20
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,Sit-down Dinner,35
Baked Goods,250,Social Gathering,350,Room Temperature,All Seasons,Buffet,20
Dairy Products,250,Corporate,350,Room Temperature,Winter,Sit-down Dinner,20
Baked Goods,220,Birthday,300,Room Temperature,All Seasons,Finger Food,20
Fruits,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,20
Vegetables,250,Social Gathering,350,Room Temperature,Winter,Sit-down Dinner,20
Dairy Products,342,Social Gathering,405,Room Temperature,Winter,Finger Food,29
Vegetables,400,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,50
Dairy Products,300,Birthday,400,Room Temperature,All Seasons,Sit-down Dinner,40
Dairy Products,491,Social Gathering,497,Room Temperature,All Seasons,Finger Food,32
Dairy Products,280,Corporate,350,Room Temperature,All Seasons,Finger Food,20
Dairy Products,380,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,35
Dairy Products,300,Social Gathering,400,Room Temperature,All Seasons,Sit-down Dinner,40
Dairy Products,230,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,30
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Sit-down Dinner,25
Meat,300,Wedding,400,Refrigerated,Summer,Buffet,40
Meat,300,Wedding,400,Refrigerated,Summer,Finger Food,20
Meat,302,Wedding,371,Refrigerated,Summer,Buffet,27
Vegetables,472,Birthday,489,Refrigerated,Summer,Buffet,36
Meat,300,Corporate,400,Refrigerated,Winter,Buffet,40
Vegetables,250,Wedding,350,Refrigerated,Winter,Buffet,10
Meat,290,Corporate,374,Refrigerated,Winter,Finger Food,27
Meat,434,Corporate,495,Refrigerated,Summer,Sit-down Dinner,36
Fruits,280,Corporate,350,Refrigerated,Summer,Finger Food,15
Fruits,400,Wedding,500,Refrigerated,Winter,Sit-down Dinner,45
Meat,350,Wedding,450,Refrigerated,Winter,Sit-down Dinner,35
Meat,250,Corporate,350,Room Temperature,Winter,Finger Food,30
Vegetables,350,Wedding,450,Refrigerated,Winter,Sit-down Dinner,35
Meat,350,Corporate,450,Refrigerated,Summer,Sit-down Dinner,25
Vegetables,280,Wedding,350,Refrigerated,Summer,Finger Food,20
Fruits,302,Corporate,371,Room Temperature,All Seasons,Buffet,22
Meat,250,Corporate,350,Room Temperature,Winter,Buffet,10
Meat,280,Birthday,350,Refrigerated,Summer,Finger Food,20
Meat,320,Birthday,400,Refrigerated,All Seasons,Buffet,30
Fruits,250,Corporate,350,Room Temperature,Winter,Buffet,10
Meat,380,Birthday,480,Refrigerated,Winter,Buffet,30
Meat,380,Corporate,480,Room Temperature,Summer,Buffet,30
Meat,280,Corporate,350,Refrigerated,Winter,Finger Food,20
Vegetables,434,Corporate,495,Refrigerated,Winter,Sit-down Dinner,36
Meat,400,Birthday,500,Refrigerated,All Seasons,Sit-down Dinner,40
Meat,250,Social Gathering,350,Refrigerated,Summer,Finger Food,20
Vegetables,320,Social Gathering,480,Refrigerated,Winter,Buffet,40
Baked Goods,442,Wedding,482,Room Temperature,Summer,Sit-down Dinner,32
Vegetables,300,Wedding,400,Room Temperature,Winter,Sit-down Dinner,35
Vegetables,280,Birthday,350,Refrigerated,Summer,Finger Food,20
Baked Goods,380,Birthday,480,Room Temperature,Winter,Buffet,30
Fruits,292,Corporate,470,Room Temperature,Winter,Sit-down Dinner,50
Vegetables,320,Corporate,400,Refrigerated,Summer,Finger Food,20
Meat,261,Wedding,350,Refrigerated,All Seasons,Sit-down Dinner,24
Fruits,300,Corporate,400,Refrigerated,All Seasons,Finger Food,15
Vegetables,400,Birthday,500,Room Temperature,Winter,Sit-down Dinner,25
Fruits,220,Social Gathering,300,Room Temperature,Winter,Finger Food,15
Baked Goods,400,Birthday,500,Room Temperature,All Seasons,Finger Food,40
Dairy Products,320,Social Gathering,400,Room Temperature,Summer,Buffet,30
Fruits,250,Social Gathering,480,Room Temperature,All Seasons,Finger Food,20
Vegetables,280,Wedding,480,Refrigerated,All Seasons,Sit-down Dinner,15
Baked Goods,300,Wedding,400,Room Temperature,Summer,Sit-down Dinner,20
Fruits,280,Birthday,350,Room Temperature,Summer,Finger Food,20
Fruits,290,Social Gathering,374,Room Temperature,Winter,Finger Food,27
Fruits,320,Birthday,400,Refrigerated,All Seasons,Sit-down Dinner,35
Dairy Products,250,Corporate,350,Room Temperature,All Seasons,Buffet,10
Fruits,261,Birthday,350,Refrigerated,All Seasons,Sit-down Dinner,23
Baked Goods,350,Birthday,450,Room Temperature,Winter,Sit-down Dinner,35
Baked Goods,270,Birthday,400,Room Temperature,Winter,Sit-down Dinner,40
Vegetables,320,Social Gathering,400,Room Temperature,All Seasons,Buffet,30
Baked Goods,380,Corporate,500,Room Temperature,Summer,Sit-down Dinner,35
Vegetables,397,Corporate,482,Refrigerated,All Seasons,Sit-down Dinner,31
Dairy Products,350,Wedding,450,Room Temperature,All Seasons,Finger Food,30
Dairy Products,220,Birthday,300,Room Temperature,Winter,Finger Food,15
Vegetables,250,Birthday,350,Refrigerated,All Seasons,Sit-down Dinner,20
Dairy Products,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Meat,267,Wedding,393,Refrigerated,Summer,Sit-down Dinner,24
Meat,280,Wedding,350,Refrigerated,All Seasons,Finger Food,20
Fruits,220,Corporate,300,Refrigerated,Winter,Finger Food,15
Vegetables,280,Birthday,350,Refrigerated,Winter,Finger Food,20
Vegetables,250,Corporate,350,Refrigerated,Winter,Finger Food,30
Baked Goods,280,Birthday,350,Room Temperature,All Seasons,Finger Food,20
Dairy Products,300,Social Gathering,450,Room Temperature,Winter,Finger Food,35
Fruits,300,Social Gathering,400,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,292,Social Gathering,470,Room Temperature,Winter,Sit-down Dinner,50
Baked Goods,320,Social Gathering,400,Room Temperature,Summer,Finger Food,25
Fruits,220,Wedding,300,Refrigerated,Winter,Finger Food,15
Dairy Products,367,Birthday,420,Room Temperature,Winter,Buffet,40
Vegetables,220,Birthday,300,Refrigerated,Winter,Finger Food,15
Fruits,300,Birthday,400,Room Temperature,All Seasons,Buffet,30
Vegetables,250,Corporate,350,Refrigerated,Summer,Finger Food,35
Dairy Products,400,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,45
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Sit-down Dinner,35
Baked Goods,250,Social Gathering,500,Room Temperature,All Seasons,Finger Food,40
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Finger Food,25
Dairy Products,240,Social Gathering,450,Room Temperature,All Seasons,Sit-down Dinner,20
Vegetables,220,Corporate,300,Refrigerated,Summer,Finger Food,15
Meat,220,Birthday,300,Room Temperature,Winter,Finger Food,15
Baked Goods,280,Corporate,350,Room Temperature,Winter,Finger Food,20
Meat,220,Social Gathering,300,Room Temperature,Summer,Finger Food,15
Fruits,280,Birthday,350,Refrigerated,All Seasons,Finger Food,20
Fruits,250,Wedding,350,Room Temperature,Summer,Finger Food,20
Fruits,320,Social Gathering,400,Refrigerated,All Seasons,Buffet,30
Vegetables,230,Corporate,500,Refrigerated,Winter,Sit-down Dinner,20
Fruits,250,Birthday,350,Room Temperature,All Seasons,Finger Food,35
Baked Goods,300,Birthday,450,Room Temperature,Summer,Finger Food,35
Meat,280,Social Gathering,350,Refrigerated,Summer,Finger Food,20
Vegetables,208,Corporate,282,Refrigerated,Winter,Sit-down Dinner,22
Meat,250,Social Gathering,350,Refrigerated,Summer,Finger Food,20
Vegetables,208,Wedding,282,Refrigerated,Summer,Sit-down Dinner,22
Baked Goods,300,Corporate,450,Room Temperature,Winter,Sit-down Dinner,35
Dairy Products,302,Corporate,371,Room Temperature,All Seasons,Buffet,27
Baked Goods,380,Wedding,500,Room Temperature,Winter,Sit-down Dinner,35
Baked Goods,367,Social Gathering,420,Room Temperature,All Seasons,Buffet,40
Baked Goods,280,Social Gathering,350,Room Temperature,Winter,Finger Food,20
Vegetables,350,Wedding,450,Refrigerated,All Seasons,Sit-down Dinner,25
Fruits,400,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,50
Meat,280,Social Gathering,480,Room Temperature,Winter,Sit-down Dinner,15
Vegetables,280,Social Gathering,350,Refrigerated,Winter,Finger Food,20
Dairy Products,400,Wedding,500,Refrigerated,All Seasons,Sit-down Dinner,40
Baked Goods,310,Social Gathering,350,Room Temperature,Summer,Finger Food,35
Baked Goods,320,Wedding,400,Room Temperature,All Seasons,Finger Food,25
Meat,220,Social Gathering,300,Room Temperature,Summer,Finger Food,15
Dairy Products,400,Wedding,350,Room Temperature,Winter,Sit-down Dinner,35
Dairy Products,310,Corporate,350,Room Temperature,All Seasons,Finger Food,35
Fruits,250,Social Gathering,350,Room Temperature,Summer,Finger Food,20
Fruits,220,Social Gathering,300,Room Temperature,Winter,Finger Food,15
Dairy Products,300,Birthday,450,Room Temperature,All Seasons,Finger Food,35
Dairy Products,270,Corporate,400,Room Temperature,Winter,Sit-down Dinner,40
Baked Goods,400,Social Gathering,500,Room Temperature,Summer,Sit-down Dinner,40
Baked Goods,380,Social Gathering,500,Room Temperature,Summer,Sit-down Dinner,35
Baked Goods,300,Social Gathering,400,Room Temperature,All Seasons,Buffet,30
Dairy Products,434,Social Gathering,495,Room Temperature,Winter,Sit-down Dinner,36
Baked Goods,350,Birthday,450,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,434,Corporate,495,Room Temperature,All Seasons,Sit-down Dinner,36
Dairy Products,350,Birthday,450,Room Temperature,All Seasons,Sit-down Dinner,35
Baked Goods,400,Social Gathering,500,Room Temperature,Summer,Sit-down Dinner,50
Dairy Products,320,Social Gathering,400,Room Temperature,All Seasons,Finger Food,15
Baked Goods,250,Social Gathering,350,Room Temperature,Winter,Sit-down Dinner,20
Baked Goods,320,Social Gathering,400,Room Temperature,All Seasons,Finger Food,25
Dairy Products,280,Social Gathering,350,Room Temperature,All Seasons,Finger Food,20
Baked Goods,438,Social Gathering,493,Room Temperature,All Seasons,Sit-down Dinner,35
Dairy Products,300,Social Gathering,400,Room Temperature,All Seasons,Sit-down Dinner,40
Meat,280,Birthday,350,Refrigerated,All Seasons,Buffet,20
Meat,320,Birthday,400,Refrigerated,All Seasons,Buffet,30
Fruits,400,Corporate,500,Room Temperature,Summer,Buffet,30
Meat,292,Birthday,470,Refrigerated,Winter,Sit-down Dinner,50
Meat,220,Corporate,300,Refrigerated,Winter,Sit-down Dinner,15
Fruits,280,Corporate,480,Refrigerated,Winter,Sit-down Dinner,15
Baked Goods,320,Birthday,400,Room Temperature,Winter,Buffet,30
Baked Goods,350,Corporate,450,Room Temperature,Winter,Buffet,40
Fruits,439,Social Gathering,459,Refrigerated,Summer,Buffet,26
Fruits,400,Corporate,500,Refrigerated,Summer,Sit-down Dinner,50
Fruits,400,Corporate,500,Refrigerated,All Seasons,Finger Food,40
Fruits,367,Social Gathering,420,Room Temperature,Summer,Buffet,40
Fruits,380,Wedding,400,Room Temperature,Winter,Finger Food,25
Vegetables,250,Wedding,350,Refrigerated,Summer,Sit-down Dinner,40
Vegetables,380,Wedding,400,Refrigerated,Winter,Finger Food,25
Baked Goods,250,Wedding,350,Room Temperature,Winter,Finger Food,35
Meat,400,Corporate,500,Refrigerated,All Seasons,Sit-down Dinner,45
Meat,380,Corporate,500,Refrigerated,All Seasons,Sit-down Dinner,35
Meat,400,Corporate,500,Refrigerated,All Seasons,Sit-down Dinner,45
Fruits,350,Corporate,450,Room Temperature,Summer,Sit-down Dinner,35
Vegetables,250,Birthday,350,Refrigerated,Summer,Finger Food,20
Vegetables,400,Wedding,400,Room Temperature,Winter,Sit-down Dinner,40
Fruits,400,Birthday,350,Room Temperature,Summer,Sit-down Dinner,35
Dairy Products,320,Birthday,400,Room Temperature,All Seasons,Buffet,30
Dairy Products,300,Corporate,400,Room Temperature,Summer,Finger Food,20
Meat,280,Corporate,350,Refrigerated,All Seasons,Finger Food,20
Fruits,220,Corporate,300,Room Temperature,All Seasons,Finger Food,15
Meat,320,Social Gathering,400,Room Temperature,Winter,Finger Food,25
Baked Goods,350,Corporate,450,Room Temperature,Summer,Finger Food,20
Vegetables,300,Birthday,400,Room Temperature,Summer,Finger Food,25
Vegetables,320,Birthday,400,Room Temperature,Summer,Finger Food,25
Fruits,220,Corporate,300,Refrigerated,All Seasons,Finger Food,15
Fruits,220,Corporate,300,Room Temperature,All Seasons,Sit-down Dinner,15
Dairy Products,220,Birthday,300,Room Temperature,All Seasons,Finger Food,15
Baked Goods,400,Birthday,500,Room Temperature,Summer,Sit-down Dinner,45
Dairy Products,400,Corporate,500,Room Temperature,Summer,Sit-down Dinner,40
Dairy Products,400,Corporate,500,Room Temperature,Summer,Sit-down Dinner,50
Dairy Products,220,Birthday,300,Room Temperature,Winter,Finger Food,15
Baked Goods,400,Corporate,500,Room Temperature,All Seasons,Sit-down Dinner,40
Dairy Products,434,Corporate,495,Room Temperature,Summer,Sit-down Dinner,36
Baked Goods,350,Wedding,450,Room Temperature,Winter,Sit-down Dinner,25
Baked Goods,220,Birthday,300,Room Temperature,All Seasons,Sit-down Dinner,15
Baked Goods,400,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,40
Dairy Products,250,Corporate,350,Room Temperature,All Seasons,Finger Food,30
Baked Goods,350,Birthday,450,Room Temperature,All Seasons,Sit-down Dinner,35
Baked Goods,453,Social Gathering,484,Room Temperature,Winter,Sit-down Dinner,54
Dairy Products,350,Wedding,450,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,260,Social Gathering,400,Room Temperature,Winter,Sit-down Dinner,20
Vegetables,350,Social Gathering,450,Room Temperature,Summer,Finger Food,20
Fruits,350,Social Gathering,450,Room Temperature,Winter,Sit-down Dinner,25
Dairy Products,250,Birthday,350,Room Temperature,Winter,Sit-down Dinner,15
Baked Goods,400,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,45
Dairy Products,320,Social Gathering,400,Room Temperature,Winter,Finger Food,25
Baked Goods,400,Social Gathering,500,Room Temperature,Winter,Sit-down Dinner,45
Baked Goods,350,Social Gathering,400,Room Temperature,Winter,Finger Food,25
Baked Goods,350,Social Gathering,450,Room Temperature,Summer,Finger Food,20
Baked Goods,400,Social Gathering,500,Room Temperature,All Seasons,Sit-down Dinner,40
Dairy Products,300,Corporate,400,Room Temperature,All Seasons,Sit-down Dinner,25
Baked Goods,250,Social Gathering,350,Room Temperature,Summer,Sit-down Dinner,20
Fruits,320,Social Gathering,400,Room Temperature,All Seasons,Finger Food,25
Dairy Products,250,Social Gathering,350,Room Temperature,All Seasons,Sit-down Dinner,20
Meat,400,Wedding,500,Refrigerated,Summer,Buffet,30
Meat,320,Corporate,400,Room Temperature,Winter,Buffet,45
Meat,400,Wedding,500,Refrigerated,Winter,Sit-down Dinner,25
Fruits,400,Wedding,500,Refrigerated,Winter,Sit-down Dinner,50
Fruits,380,Wedding,500,Refrigerated,Summer,Sit-down Dinner,35
Meat,300,Wedding,400,Refrigerated,Summer,Sit-down Dinner,40
Meat,400,Wedding,500,Room Temperature,Winter,Sit-down Dinner,25
Fruits,320,Corporate,400,Refrigerated,Winter,Sit-down Dinner,35
Meat,380,Birthday,480,Refrigerated,All Seasons,Buffet,30
Fruits,380,Corporate,480,Refrigerated,Winter,Buffet,30
Meat,300,Wedding,400,Refrigerated,All Seasons,Finger Food,15
Vegetables,380,Birthday,480,Refrigerated,Summer,Buffet,30
Meat,280,Corporate,350,Refrigerated,Summer,Finger Food,20
Baked Goods,300,Wedding,400,Room Temperature,Summer,Finger Food,15
Meat,400,Corporate,350,Room Temperature,Summer,Sit-down Dinner,35
Meat,220,Corporate,300,Room Temperature,Summer,Finger Food,15
Baked Goods,290,Birthday,374,Room Temperature,Summer,Finger Food,27
Fruits,400,Birthday,450,Room Temperature,All Seasons,Buffet,30
Meat,240,Wedding,450,Refrigerated,All Seasons,Sit-down Dinner,20
Meat,250,Wedding,350,Refrigerated,Winter,Sit-down Dinner,20
Meat,320,Corporate,400,Refrigerated,Winter,Finger Food,25
Baked Goods,450,Birthday,500,Room Temperature,Summer,Finger Food,30
Baked Goods,439,Corporate,459,Room Temperature,Winter,Buffet,36
Baked Goods,280,Wedding,350,Room Temperature,All Seasons,Buffet,20
